model_type,worda,wordb,value,worda_freq
cocount,legal,american,0.0,12
cocount,legal,animal,0.0,12
cocount,legal,author,0.0,12
cocount,legal,began,0.0,12
cocount,legal,california,0.0,12
cocount,legal,called,0.0,12
cocount,legal,change,0.0,12
cocount,legal,chemical,0.0,12
cocount,legal,chemistry,0.0,12
cocount,legal,city,0.0,12
cocount,legal,cloud,0.0,12
cocount,legal,colorado,0.0,12
cocount,legal,country,0.0,12
model,illinois,set,0.32024145126342773,9
model,illinois,effect,0.2556348443031311,9
model,illinois,family,0.24755334854125977,9
model,illinois,end,0.22704030573368073,9
model,illinois,opposed,0.2029915302991867,9
model,illinois,include,0.1730162352323532,9
model,illinois,rule,0.16281434893608093,9
model,illinois,spain,0.16249555349349976,9
model,illinois,group,0.15464267134666443,9
model,illinois,low,0.14555606245994568,9
model,illinois,lake,0.14149856567382812,9
model,illinois,precipitating,0.12750503420829773,9
model,illinois,power,0.12297660857439041,9
model,illinois,japan,0.1200951561331749,9
model,illinois,began,0.11599541455507278,9
model,illinois,french,0.10881642997264862,9
model,illinois,study,0.10438895225524902,9
model,illinois,government,0.10112440586090088,9
model,illinois,number,0.09930221736431122,9
model,illinois,person,0.08940551429986954,9
cocount,illinois,family,5.0,9
cocount,illinois,effect,4.0,9
cocount,illinois,end,3.0,9
cocount,illinois,power,3.0,9
cocount,illinois,set,3.0,9
cocount,illinois,active,0.0,9
cocount,illinois,also,0.0,9
cocount,illinois,american,0.0,9
cocount,illinois,animal,0.0,9
cocount,illinois,author,0.0,9
cocount,illinois,began,0.0,9
cocount,illinois,california,0.0,9
cocount,illinois,called,0.0,9
cocount,illinois,change,0.0,9
cocount,illinois,chemical,0.0,9
cocount,illinois,chemistry,0.0,9
cocount,illinois,city,0.0,9
cocount,illinois,cloud,0.0,9
cocount,illinois,colorado,0.0,9
cocount,illinois,country,0.0,9
model,people,effect,0.21317793428897858,12
model,people,object,0.18636509776115417,12
model,people,world,0.1862209141254425,12
model,people,different,0.17333170771598816,12
model,people,city,0.16031596064567566,12
model,people,france,0.15098156034946442,12
model,people,set,0.14136968553066254,12
model,people,substance,0.1317088007926941,12
model,people,increase,0.13046365976333618,12
model,people,ocean,0.12527059018611908,12
model,people,every,0.12402966618537903,12
model,people,power,0.11625950783491135,12
model,people,social,0.1064457893371582,12
model,people,one,0.10454142093658447,12
model,people,also,0.1042037308216095,12
model,people,roughly,0.10350081324577332,12
model,people,network,0.10330775380134583,12
model,people,european,0.10137835144996643,12
model,people,sea,0.09771835803985596,12
model,people,end,0.0891900360584259,12
cocount,people,effect,7.0,12
cocount,people,family,6.0,12
cocount,people,power,6.0,12
cocount,people,set,3.0,12
cocount,people,end,2.0,12
cocount,people,active,0.0,12
cocount,people,also,0.0,12
cocount,people,american,0.0,12
cocount,people,animal,0.0,12
cocount,people,author,0.0,12
cocount,people,began,0.0,12
cocount,people,california,0.0,12
cocount,people,called,0.0,12
cocount,people,change,0.0,12
cocount,people,chemical,0.0,12
cocount,people,chemistry,0.0,12
cocount,people,city,0.0,12
cocount,people,cloud,0.0,12
cocount,people,colorado,0.0,12
cocount,people,country,0.0,12
model,ocean,family,0.23115171492099762,6
model,ocean,group,0.20015849173069,6
model,ocean,french,0.19728252291679382,6
model,ocean,posted,0.16571444272994995,6
model,ocean,effect,0.1532902866601944,6
model,ocean,end,0.14667798578739166,6
model,ocean,europe,0.13326311111450195,6
model,ocean,social,0.1307981014251709,6
model,ocean,people,0.12527059018611908,6
model,ocean,animal,0.12182997167110443,6
model,ocean,degree,0.10524699836969376,6
model,ocean,rule,0.1032261997461319,6
model,ocean,chemistry,0.0967315062880516,6
model,ocean,first,0.09331706166267395,6
model,ocean,lack,0.09330029785633087,6
model,ocean,one,0.0901230052113533,6
